Token;Anzahl;P_r;Rank
the;358;358;1
I;351;351;2
of;350;350;3
my;343;343;4
to;335;335;5
in;287;287;6
thy;252;252;7
and;248;248;8
And;242;242;9
that;239;239;10
d;238;238;11
thou;209;209;12
s;203;203;13
love;176;176;14
with;163;163;15
me;162;162;16
thee;161;161;17
is;158;158;18
not;157;157;19
a;147;147;20
be;132;132;21
all;110;110;22
you;106;106;23
his;104;104;24
for;99;99;25
it;98;98;26
so;98;98;27
this;95;95;28
But;89;89;29
your;87;87;30
That;84;84;31
doth;82;82;32
as;81;81;33
To;80;80;34
do;80;80;35
The;79;79;36
by;78;78;37
but;74;74;38
on;74;74;39
For;73;73;40
have;69;69;41
from;68;68;42
beauty;67;67;43
are;66;66;44
their;62;62;45
no;61;61;46
which;61;61;47
more;59;59;48
heart;58;58;49
When;57;57;50
what;57;57;51
st;54;54;52
eyes;53;53;53
mine;53;53;54
O;52;52;55
sweet;52;52;56
will;52;52;57
art;49;49;58
shall;49;49;59
when;49;49;60
So;47;47;61
Which;47;47;62
her;47;47;63
self;45;45;64
should;44;44;65
time;44;44;66
they;42;42;67
can;41;41;68
fair;41;41;69
or;41;41;70
then;41;41;71
As;40;40;72
eye;40;40;73
thine;40;40;74
still;39;39;75
Or;38;38;76
one;38;38;77
true;38;38;78
hath;37;37;79
he;37;37;80
make;37;37;81
see;37;37;82
In;36;36;83
him;36;36;84
now;36;36;85
than;35;35;86
If;34;34;87
am;34;34;88
if;34;34;89
Then;33;33;90
world;33;33;91
where;31;31;92
yet;31;31;93
My;30;30;94
every;30;30;95
own;30;30;96
she;30;30;97
Thy;29;29;98
day;29;29;99
live;29;29;100
being;28;28;101
like;28;28;102
nor;28;28;103
praise;28;28;104
say;27;27;105
Thou;26;26;106
Time;26;26;107
did;26;26;108
dost;26;26;109
new;26;26;110
such;26;26;111
those;26;26;112
well;26;26;113
may;25;25;114
might;25;25;115
most;25;25;116
was;25;25;117
were;25;25;118
Nor;24;24;119
life;24;24;120
some;24;24;121
best;23;23;122
show;23;23;123
though;23;23;124
give;22;22;125
night;22;22;126
old;22;22;127
truth;22;22;128
upon;22;22;129
How;21;21;130
at;21;21;131
know;21;21;132
must;21;21;133
would;21;21;134
Of;20;20;135
Yet;20;20;136
dear;20;20;137
ill;20;20;138
men;20;20;139
part;20;20;140
worth;20;20;141
Love;19;19;142
alone;19;19;143
better;19;19;144
face;19;19;145
false;19;19;146
heaven;19;19;147
